indic_en,Year,Percent,Country
Heating and Cooling,2008 ,43.3,Finland
Gross final energy consumption,2009 ,31.3,Finland
Transport,2009 ,4.6,Finland
Electricity,2009 ,27.3,Finland
Heating and Cooling,2009 ,43.1,Finland
Gross final energy consumption,2010 ,32.4,Finland
Transport,2010 ,4.4,Finland
Electricity,2010 ,27.7,Finland
Heating and Cooling,2010 ,44.2,Finland
Gross final energy consumption,2011 ,32.8,Finland
Transport,2011 ,1.0,Finland
Electricity,2011 ,29.4,Finland
Heating and Cooling,2011 ,45.9,Finland
Gross final energy consumption,2012 ,34.4,Finland
Transport,2012 ,1.1,Finland
Electricity,2012 ,29.5,Finland
Heating and Cooling,2012 ,48.4,Finland
Gross final energy consumption,2013 ,36.7,Finland
Transport,2013 ,10.2,Finland
Electricity,2013 ,30.9,Finland
Heating and Cooling,2013 ,50.8,Finland
Gross final energy consumption,2014 ,38.7,Finland
Transport,2014 ,22.0,Finland
Electricity,2014 ,31.4,Finland
Heating and Cooling,2014 ,52.0,Finland
Gross final energy consumption,2015 ,39.2,Finland
Transport,2015 ,22.0,Finland
Electricity,2015 ,32.5,Finland
Heating and Cooling,2015 ,52.5,Finland
Gross final energy consumption,2016 ,38.7,Finland
Transport,2016 ,8.4,Finland
Electricity,2016 ,32.9,Finland
Heating and Cooling,2016 ,53.7,Finland
Gross final energy consumption,2004 ,9.5 ,France
Transport,2004 ,1.5 ,France
Electricity,2004 ,13.8 ,France
Heating and Cooling,2004 ,12.5 ,France
Gross final energy consumption,2005 ,9.6,France
Transport,2005 ,2.1,France
Electricity,2005 ,13.7,France
Heating and Cooling,2005 ,12.3,France
Gross final energy consumption,2006 ,9.3,France
Transport,2006 ,2.3,France
Electricity,2006 ,14.1,France
Heating and Cooling,2006 ,11.7,France
Gross final energy consumption,2007 ,10.3,France
Transport,2007 ,4.0,France
Electricity,2007 ,14.3,France
Heating and Cooling,2007 ,12.9,France
Gross final energy consumption,2008 ,11.3,France
Transport,2008 ,6.2,France
Electricity,2008 ,14.4,France
Heating and Cooling,2008 ,13.4,France
Gross final energy consumption,2009 ,12.3,France
Transport,2009 ,6.6,France
Electricity,2009 ,15.1,France
Heating and Cooling,2009 ,15.1,France
Gross final energy consumption,2010 ,12.7,France
Transport,2010 ,6.5,France
Electricity,2010 ,14.8,France
Heating and Cooling,2010 ,16.2,France
Gross final energy consumption,2011 ,11.1,France
Transport,2011 ,1.0,France
Electricity,2011 ,16.2,France
Heating and Cooling,2011 ,15.9,France
Gross final energy consumption,2012 ,13.4,France
Transport,2012 ,7.6,France
Electricity,2012 ,16.4,France
Heating and Cooling,2012 ,17.1,France
Gross final energy consumption,2013 ,14.1,France
Transport,2013 ,7.7,France
Electricity,2013 ,16.8,France
Heating and Cooling,2013 ,18.3,France
Gross final energy consumption,2014 ,14.7,France
Transport,2014 ,8.4,France
Electricity,2014 ,18.3,France
Heating and Cooling,2014 ,18.9,France
Gross final energy consumption,2015 ,15.1,France
Transport,2015 ,8.5,France
Electricity,2015 ,18.7,France
Heating and Cooling,2015 ,19.7,France
Gross final energy consumption,2016 ,16.0,France
Transport,2016 ,8.9,France
Electricity,2016 ,19.2,France
Heating and Cooling,2016 ,21.1,France
Gross final energy consumption,2004 ,23.5 ,Croatia
Transport,2004 ,1.0 ,Croatia
Electricity,2004 ,35.5 ,Croatia
Heating and Cooling,2004 ,29.4 ,Croatia
Gross final energy consumption,2005 ,23.8,Croatia
Transport,2005 ,1.0,Croatia
Electricity,2005 ,35.6,Croatia
Heating and Cooling,2005 ,30.0,Croatia
Gross final energy consumption,2006 ,22.7,Croatia
Transport,2006 ,1.0,Croatia
Electricity,2006 ,35.0,Croatia
Heating and Cooling,2006 ,29.1,Croatia
Gross final energy consumption,2007 ,22.2,Croatia
Transport,2007 ,1.1,Croatia
Electricity,2007 ,34.0,Croatia
Heating and Cooling,2007 ,29.2,Croatia
Gross final energy consumption,2008 ,22.0,Croatia
Transport,2008 ,1.1,Croatia
Electricity,2008 ,33.9,Croatia
Heating and Cooling,2008 ,28.6,Croatia
Gross final energy consumption,2009 ,23.6,Croatia
Transport,2009 ,1.3,Croatia
Electricity,2009 ,35.9,Croatia
Heating and Cooling,2009 ,31.2,Croatia
Gross final energy consumption,2010 ,25.1,Croatia
Transport,2010 ,1.1,Croatia
Electricity,2010 ,37.6,Croatia
Heating and Cooling,2010 ,32.8,Croatia
Gross final energy consumption,2011 ,25.4,Croatia
Transport,2011 ,1.0,Croatia
Electricity,2011 ,37.6,Croatia
Heating and Cooling,2011 ,33.7,Croatia
Gross final energy consumption,2012 ,26.8,Croatia
Transport,2012 ,1.1,Croatia
Electricity,2012 ,38.8,Croatia
Heating and Cooling,2012 ,36.5,Croatia
Gross final energy consumption,2013 ,28.0,Croatia
Transport,2013 ,4.4,Croatia
Electricity,2013 ,42.1,Croatia
Heating and Cooling,2013 ,37.2,Croatia
Gross final energy consumption,2014 ,27.8,Croatia
Transport,2014 ,4.2,Croatia
Electricity,2014 ,45.3,Croatia
Heating and Cooling,2014 ,36.1,Croatia
Gross final energy consumption,2015 ,29.0,Croatia
Transport,2015 ,3.6,Croatia
Electricity,2015 ,45.4,Croatia
Heating and Cooling,2015 ,38.5,Croatia
Gross final energy consumption,2016 ,28.3,Croatia
Transport,2016 ,1.3,Croatia
Electricity,2016 ,46.7,Croatia
Heating and Cooling,2016 ,37.6,Croatia
Gross final energy consumption,2004 ,4.4 ,Hungary
Transport,2004 ,0.9 ,Hungary
Electricity,2004 ,2.2 ,Hungary
Heating and Cooling,2004 ,6.5 ,Hungary
Gross final energy consumption,2005 ,6.9,Hungary
Transport,2005 ,0.9,Hungary
Electricity,2005 ,4.4,Hungary
Heating and Cooling,2005 ,9.9,Hungary
Gross final energy consumption,2006 ,7.4,Hungary
Transport,2006 ,1.1,Hungary
Electricity,2006 ,3.5,Hungary
Heating and Cooling,2006 ,11.4,Hungary
Gross final energy consumption,2007 ,8.6,Hungary
Transport,2007 ,1.5,Hungary
Electricity,2007 ,4.2,Hungary
Heating and Cooling,2007 ,13.5,Hungary
Gross final energy consumption,2008 ,8.6,Hungary
Transport,2008 ,5.1,Hungary
Electricity,2008 ,5.3,Hungary
Heating and Cooling,2008 ,12.0,Hungary
Gross final energy consumption,2009 ,11.7,Hungary
Transport,2009 ,5.7,Hungary
Electricity,2009 ,7.0,Hungary
Heating and Cooling,2009 ,17.0,Hungary
Gross final energy consumption,2010 ,12.7,Hungary
Transport,2010 ,6.0,Hungary
Electricity,2010 ,7.1,Hungary
Heating and Cooling,2010 ,18.1,Hungary
Gross final energy consumption,2011 ,14.0,Hungary
Transport,2011 ,6.0,Hungary
Electricity,2011 ,6.4,Hungary
Heating and Cooling,2011 ,20.0,Hungary
Gross final energy consumption,2012 ,15.5,Hungary
Transport,2012 ,5.9,Hungary
Electricity,2012 ,6.1,Hungary
Heating and Cooling,2012 ,23.3,Hungary
Gross final energy consumption,2013 ,16.2,Hungary
Transport,2013 ,6.2,Hungary
Electricity,2013 ,6.6,Hungary
Heating and Cooling,2013 ,23.7,Hungary
Gross final energy consumption,2014 ,14.6,Hungary
Transport,2014 ,6.9,Hungary
Electricity,2014 ,7.3,Hungary
Heating and Cooling,2014 ,21.2,Hungary
Gross final energy consumption,2015 ,14.4,Hungary
Transport,2015 ,7.0,Hungary
Electricity,2015 ,7.3,Hungary
Heating and Cooling,2015 ,21.2,Hungary
Gross final energy consumption,2016 ,14.2,Hungary
Transport,2016 ,7.4,Hungary
Electricity,2016 ,7.2,Hungary
Heating and Cooling,2016 ,20.8,Hungary
Gross final energy consumption,2004 ,2.4 ,Ireland
Transport,2004 ,0.0 ,Ireland
Electricity,2004 ,6.0 ,Ireland
Heating and Cooling,2004 ,2.9 ,Ireland
Gross final energy consumption,2005 ,2.9,Ireland
Transport,2005 ,0.1,Ireland
Electricity,2005 ,7.2,Ireland
Heating and Cooling,2005 ,3.5,Ireland
Gross final energy consumption,2006 ,3.2,Ireland
Transport,2006 ,0.1,Ireland
Electricity,2006 ,8.7,Ireland
Heating and Cooling,2006 ,3.8,Ireland
Gross final energy consumption,2007 ,3.7,Ireland
Transport,2007 ,0.5,Ireland
Electricity,2007 ,10.4,Ireland
Heating and Cooling,2007 ,3.9,Ireland
Gross final energy consumption,2008 ,4.1,Ireland
Transport,2008 ,1.3,Ireland
Electricity,2008 ,11.2,Ireland
Heating and Cooling,2008 ,3.7,Ireland
Gross final energy consumption,2009 ,5.1,Ireland
Transport,2009 ,2.0,Ireland
Electricity,2009 ,13.4,Ireland
Heating and Cooling,2009 ,4.3,Ireland
Gross final energy consumption,2010 ,5.7,Ireland
Transport,2010 ,2.5,Ireland
Electricity,2010 ,14.6,Ireland
Heating and Cooling,2010 ,4.5,Ireland
Gross final energy consumption,2011 ,6.5,Ireland
Transport,2011 ,5.3,Ireland
Electricity,2011 ,17.4,Ireland
Heating and Cooling,2011 ,4.9,Ireland
Gross final energy consumption,2012 ,7.1,Ireland
Transport,2012 ,4.8,Ireland
Electricity,2012 ,19.7,Ireland
Heating and Cooling,2012 ,5.1,Ireland
Gross final energy consumption,2013 ,7.7,Ireland
Transport,2013 ,4.8,Ireland
Electricity,2013 ,21.0,Ireland
Heating and Cooling,2013 ,5.5,Ireland
Gross final energy consumption,2014 ,8.7,Ireland
Transport,2014 ,5.1,Ireland
Electricity,2014 ,22.9,Ireland
Heating and Cooling,2014 ,6.6,Ireland
Gross final energy consumption,2015 ,9.2,Ireland
Transport,2015 ,5.7,Ireland
Electricity,2015 ,25.2,Ireland
Heating and Cooling,2015 ,6.6,Ireland
Gross final energy consumption,2016 ,9.5,Ireland
Transport,2016 ,5.0,Ireland
Electricity,2016 ,27.2,Ireland
Heating and Cooling,2016 ,6.8,Ireland
Gross final energy consumption,2004 ,58.9 ,Iceland
Transport,2004 ,0.0 ,Iceland
Electricity,2004 ,93.1 ,Iceland
Heating and Cooling,2004 ,52.2 ,Iceland
Gross final energy consumption,2005 ,60.1,Iceland
Transport,2005 ,0.0,Iceland
Electricity,2005 ,94.9,Iceland
Heating and Cooling,2005 ,53.4,Iceland
Gross final energy consumption,2006 ,60.8,Iceland
Transport,2006 ,0.0,Iceland
Electricity,2006 ,93.5,Iceland
Heating and Cooling,2006 ,56.9,Iceland
Gross final energy consumption,2007 ,71.4,Iceland
Transport,2007 ,0.1,Iceland
Electricity,2007 ,113.7,Iceland
Heating and Cooling,2007 ,58.6,Iceland
Gross final energy consumption,2008 ,67.4,Iceland
Transport,2008 ,0.1,Iceland
Electricity,2008 ,90.8,Iceland
Heating and Cooling,2008 ,62.0,Iceland
Gross final energy consumption,2009 ,69.6,Iceland
Transport,2009 ,0.1,Iceland
Electricity,2009 ,92.9,Iceland
Heating and Cooling,2009 ,62.1,Iceland
Gross final energy consumption,2010 ,70.3,Iceland
Transport,2010 ,0.2,Iceland
Electricity,2010 ,92.4,Iceland
Heating and Cooling,2010 ,63.9,Iceland
Gross final energy consumption,2011 ,71.5,Iceland
Transport,2011 ,0.9,Iceland
Electricity,2011 ,93.9,Iceland
Heating and Cooling,2011 ,65.2,Iceland
Gross final energy consumption,2012 ,72.4,Iceland
Transport,2012 ,1.4,Iceland
Electricity,2012 ,95.4,Iceland
Heating and Cooling,2012 ,64.6,Iceland
Gross final energy consumption,2013 ,71.6,Iceland
Transport,2013 ,2.1,Iceland
Electricity,2013 ,96.7,Iceland
Heating and Cooling,2013 ,59.0,Iceland
Gross final energy consumption,2014 ,70.4,Iceland
Transport,2014 ,2.7,Iceland
Electricity,2014 ,97.1,Iceland
Heating and Cooling,2014 ,58.1,Iceland
Gross final energy consumption,2015 ,70.2,Iceland
Transport,2015 ,6.4,Iceland
Electricity,2015 ,93.1,Iceland
Heating and Cooling,2015 ,63.4,Iceland
Gross final energy consumption,2016 ,72.6,Iceland
Transport,2016 ,7.2,Iceland
Electricity,2016 ,95.3,Iceland
Heating and Cooling,2016 ,71.1,Iceland
Gross final energy consumption,2004 ,6.3 ,Italy
Transport,2004 ,1.2 ,Italy
Electricity,2004 ,16.1 ,Italy
Heating and Cooling,2004 ,5.7 ,Italy
Gross final energy consumption,2005 ,7.5,Italy
Transport,2005 ,1.0,Italy
Electricity,2005 ,16.3,Italy
Heating and Cooling,2005 ,8.2,Italy
Gross final energy consumption,2006 ,8.3,Italy
Transport,2006 ,1.0,Italy
Electricity,2006 ,15.9,Italy
Heating and Cooling,2006 ,10.1,Italy
Gross final energy consumption,2007 ,9.8,Italy
Transport,2007 ,1.0,Italy
Electricity,2007 ,16.0,Italy
Heating and Cooling,2007 ,13.3,Italy
Gross final energy consumption,2008 ,11.5,Italy
Transport,2008 ,2.6,Italy
Electricity,2008 ,16.6,Italy
Heating and Cooling,2008 ,15.3,Italy
Gross final energy consumption,2009 ,12.8,Italy
Transport,2009 ,3.9,Italy
Electricity,2009 ,18.8,Italy
Heating and Cooling,2009 ,16.4,Italy
Gross final energy consumption,2010 ,13.0,Italy
Transport,2010 ,4.8,Italy
Electricity,2010 ,20.1,Italy
Heating and Cooling,2010 ,15.6,Italy
Gross final energy consumption,2011 ,12.9,Italy
Transport,2011 ,5.0,Italy
Electricity,2011 ,23.5,Italy
Heating and Cooling,2011 ,13.8,Italy
Gross final energy consumption,2012 ,15.4,Italy
Transport,2012 ,6.0,Italy
Electricity,2012 ,27.4,Italy
Heating and Cooling,2012 ,17.0,Italy
Gross final energy consumption,2013 ,16.7,Italy
Transport,2013 ,5.4,Italy
Electricity,2013 ,31.3,Italy
Heating and Cooling,2013 ,18.1,Italy
Gross final energy consumption,2014 ,17.1,Italy
Transport,2014 ,5.0,Italy
Electricity,2014 ,33.4,Italy
Heating and Cooling,2014 ,18.9,Italy
Gross final energy consumption,2015 ,17.5,Italy
Transport,2015 ,6.4,Italy
Electricity,2015 ,33.5,Italy
Heating and Cooling,2015 ,19.3,Italy
Gross final energy consumption,2016 ,17.4,Italy
Transport,2016 ,7.2,Italy
Electricity,2016 ,34.0,Italy
Heating and Cooling,2016 ,18.9,Italy
Gross final energy consumption,2004 ,17.2 ,Lithuania
Transport,2004 ,0.4 ,Lithuania
Electricity,2004 ,3.6 ,Lithuania
Heating and Cooling,2004 ,30.4 ,Lithuania
Gross final energy consumption,2005 ,16.8,Lithuania
Transport,2005 ,0.6,Lithuania
Electricity,2005 ,3.8,Lithuania
Heating and Cooling,2005 ,29.3,Lithuania
Gross final energy consumption,2006 ,16.9,Lithuania
Transport,2006 ,1.9,Lithuania
Electricity,2006 ,4.0,Lithuania
Heating and Cooling,2006 ,29.2,Lithuania
Gross final energy consumption,2007 ,16.5,Lithuania
Transport,2007 ,3.8,Lithuania
Electricity,2007 ,4.7,Lithuania
Heating and Cooling,2007 ,29.1,Lithuania
Gross final energy consumption,2008 ,17.8,Lithuania
Transport,2008 ,4.3,Lithuania
Electricity,2008 ,4.9,Lithuania
Heating and Cooling,2008 ,32.0,Lithuania
Gross final energy consumption,2009 ,19.8,Lithuania
Transport,2009 ,4.5,Lithuania
Electricity,2009 ,5.9,Lithuania
Heating and Cooling,2009 ,33.7,Lithuania
Gross final energy consumption,2010 ,19.6,Lithuania
Transport,2010 ,3.8,Lithuania
Electricity,2010 ,7.4,Lithuania
Heating and Cooling,2010 ,32.5,Lithuania
Gross final energy consumption,2011 ,19.9,Lithuania
Transport,2011 ,3.8,Lithuania
Electricity,2011 ,9.0,Lithuania
Heating and Cooling,2011 ,32.8,Lithuania
Gross final energy consumption,2012 ,21.4,Lithuania
Transport,2012 ,4.9,Lithuania
Electricity,2012 ,10.9,Lithuania
Heating and Cooling,2012 ,34.5,Lithuania
Gross final energy consumption,2013 ,22.7,Lithuania
Transport,2013 ,4.8,Lithuania
Electricity,2013 ,13.1,Lithuania
Heating and Cooling,2013 ,36.9,Lithuania
Gross final energy consumption,2014 ,23.6,Lithuania
Transport,2014 ,4.3,Lithuania
Electricity,2014 ,13.7,Lithuania
Heating and Cooling,2014 ,40.6,Lithuania
Gross final energy consumption,2015 ,25.8,Lithuania
Transport,2015 ,4.6,Lithuania
Electricity,2015 ,15.5,Lithuania
Heating and Cooling,2015 ,46.1,Lithuania
Gross final energy consumption,2016 ,25.6,Lithuania
Transport,2016 ,3.6,Lithuania
Electricity,2016 ,16.8,Lithuania
Heating and Cooling,2016 ,46.5,Lithuania
Gross final energy consumption,2004 ,0.9 ,Luxembourg
Transport,2004 ,0.1 ,Luxembourg
Electricity,2004 ,2.8 ,Luxembourg
Heating and Cooling,2004 ,1.8 ,Luxembourg
Gross final energy consumption,2005 ,1.4,Luxembourg
Transport,2005 ,0.1,Luxembourg
Electricity,2005 ,3.2,Luxembourg
Heating and Cooling,2005 ,3.6,Luxembourg
Gross final energy consumption,2006 ,1.5,Luxembourg
Transport,2006 ,0.2,Luxembourg
Electricity,2006 ,3.2,Luxembourg
Heating and Cooling,2006 ,3.6,Luxembourg
Gross final energy consumption,2007 ,2.7,Luxembourg
Transport,2007 ,2.2,Luxembourg
Electricity,2007 ,3.3,Luxembourg
Heating and Cooling,2007 ,4.4,Luxembourg
Gross final energy consumption,2008 ,2.8,Luxembourg
Transport,2008 ,2.2,Luxembourg
Electricity,2008 ,3.6,Luxembourg
Heating and Cooling,2008 ,4.6,Luxembourg
Gross final energy consumption,2009 ,2.9,Luxembourg
Transport,2009 ,2.2,Luxembourg
Electricity,2009 ,4.1,Luxembourg
Heating and Cooling,2009 ,4.7,Luxembourg
Gross final energy consumption,2010 ,2.9,Luxembourg
Transport,2010 ,2.1,Luxembourg
Electricity,2010 ,3.8,Luxembourg
Heating and Cooling,2010 ,4.7,Luxembourg
Gross final energy consumption,2011 ,2.9,Luxembourg
Transport,2011 ,2.3,Luxembourg
Electricity,2011 ,4.1,Luxembourg
Heating and Cooling,2011 ,4.8,Luxembourg
Gross final energy consumption,2012 ,3.1,Luxembourg
Transport,2012 ,2.8,Luxembourg
Electricity,2012 ,4.6,Luxembourg
Heating and Cooling,2012 ,5.0,Luxembourg
Gross final energy consumption,2013 ,3.5,Luxembourg
Transport,2013 ,4.0,Luxembourg
Electricity,2013 ,5.3,Luxembourg
Heating and Cooling,2013 ,5.5,Luxembourg
Gross final energy consumption,2014 ,4.5,Luxembourg
Transport,2014 ,5.4,Luxembourg
Electricity,2014 ,5.9,Luxembourg
Heating and Cooling,2014 ,7.2,Luxembourg
Gross final energy consumption,2015 ,5.0,Luxembourg
Transport,2015 ,6.5,Luxembourg
Electricity,2015 ,6.2,Luxembourg
Heating and Cooling,2015 ,7.1,Luxembourg
Gross final energy consumption,2016 ,5.4,Luxembourg
Transport,2016 ,5.9,Luxembourg
Electricity,2016 ,6.7,Luxembourg
Heating and Cooling,2016 ,7.3,Luxembourg
Gross final energy consumption,2004 ,32.8 ,Latvia
Transport,2004 ,2.1 ,Latvia
Electricity,2004 ,46.0 ,Latvia
Heating and Cooling,2004 ,42.5 ,Latvia
Gross final energy consumption,2005 ,32.3,Latvia
Transport,2005 ,2.4,Latvia
Electricity,2005 ,43.0,Latvia
Heating and Cooling,2005 ,42.7,Latvia
Gross final energy consumption,2006 ,31.1,Latvia
Transport,2006 ,2.2,Latvia
Electricity,2006 ,40.4,Latvia
Heating and Cooling,2006 ,42.6,Latvia
Gross final energy consumption,2007 ,29.6,Latvia
Transport,2007 ,1.7,Latvia
Electricity,2007 ,38.6,Latvia
Heating and Cooling,2007 ,42.4,Latvia
Gross final energy consumption,2008 ,29.8,Latvia
Transport,2008 ,1.7,Latvia
Electricity,2008 ,38.7,Latvia
Heating and Cooling,2008 ,42.9,Latvia
Gross final energy consumption,2009 ,34.3,Latvia
Transport,2009 ,1.9,Latvia
Electricity,2009 ,41.9,Latvia
Heating and Cooling,2009 ,47.9,Latvia
Gross final energy consumption,2010 ,30.4,Latvia
Transport,2010 ,4.0,Latvia
Electricity,2010 ,42.1,Latvia
Heating and Cooling,2010 ,40.7,Latvia
Gross final energy consumption,2011 ,33.5,Latvia
Transport,2011 ,4.1,Latvia
Electricity,2011 ,44.7,Latvia
Heating and Cooling,2011 ,44.7,Latvia
Gross final energy consumption,2012 ,35.7,Latvia
Transport,2012 ,4.0,Latvia
Electricity,2012 ,44.9,Latvia
Heating and Cooling,2012 ,47.3,Latvia
Gross final energy consumption,2013 ,37.1,Latvia
Transport,2013 ,4.0,Latvia
Electricity,2013 ,48.8,Latvia
Heating and Cooling,2013 ,49.7,Latvia
Gross final energy consumption,2014 ,38.7,Latvia
Transport,2014 ,4.1,Latvia
Electricity,2014 ,51.1,Latvia
Heating and Cooling,2014 ,52.2,Latvia
Gross final energy consumption,2015 ,37.6,Latvia
Transport,2015 ,3.9,Latvia
Electricity,2015 ,52.2,Latvia
Heating and Cooling,2015 ,51.8,Latvia
Gross final energy consumption,2016 ,37.2,Latvia
Transport,2016 ,2.8,Latvia
Electricity,2016 ,51.3,Latvia
Heating and Cooling,2016 ,51.9,Latvia
Gross final energy consumption,2004 ,: ,Montenegro
Transport,2004 ,: ,Montenegro
Electricity,2004 ,: ,Montenegro
Heating and Cooling,2004 ,: ,Montenegro
Gross final energy consumption,2005 ,35.7,Montenegro
Transport,2005 ,0.4,Montenegro
Electricity,2005 ,39.1,Montenegro
Heating and Cooling,2005 ,52.9,Montenegro
Gross final energy consumption,2006 ,34.8,Montenegro
Transport,2006 ,0.5,Montenegro
Electricity,2006 ,37.7,Montenegro
Heating and Cooling,2006 ,51.4,Montenegro
Gross final energy consumption,2007 ,32.9,Montenegro
Transport,2007 ,1.0,Montenegro
Electricity,2007 ,37.6,Montenegro
Heating and Cooling,2007 ,49.1,Montenegro
Gross final energy consumption,2008 ,32.3,Montenegro
Transport,2008 ,0.9,Montenegro
Electricity,2008 ,38.3,Montenegro
Heating and Cooling,2008 ,46.0,Montenegro
Gross final energy consumption,2009 ,39.4,Montenegro
Transport,2009 ,0.7,Montenegro
Electricity,2009 ,46.6,Montenegro
Heating and Cooling,2009 ,62.1,Montenegro
Gross final energy consumption,2010 ,40.6,Montenegro
Transport,2010 ,0.8,Montenegro
Electricity,2010 ,45.7,Montenegro
Heating and Cooling,2010 ,76.5,Montenegro
Gross final energy consumption,2011 ,40.6,Montenegro
Transport,2011 ,0.6,Montenegro
Electricity,2011 ,41.6,Montenegro
Heating and Cooling,2011 ,81.3,Montenegro
Gross final energy consumption,2012 ,41.5,Montenegro
Transport,2012 ,0.7,Montenegro
Electricity,2012 ,42.8,Montenegro
Heating and Cooling,2012 ,79.8,Montenegro
Gross final energy consumption,2013 ,43.7,Montenegro
Transport,2013 ,1.1,Montenegro
Electricity,2013 ,49.1,Montenegro
Heating and Cooling,2013 ,68.5,Montenegro
Gross final energy consumption,2014 ,44.1,Montenegro
Transport,2014 ,1.1,Montenegro
Electricity,2014 ,51.4,Montenegro
Heating and Cooling,2014 ,67.6,Montenegro
Gross final energy consumption,2015 ,43.1,Montenegro
Transport,2015 ,1.2,Montenegro
Electricity,2015 ,49.6,Montenegro
Heating and Cooling,2015 ,68.5,Montenegro
Gross final energy consumption,2016 ,41.5,Montenegro
Transport,2016 ,1.1,Montenegro
Electricity,2016 ,51.0,Montenegro
Heating and Cooling,2016 ,69.2,Montenegro
Gross final energy consumption,2004 ,15.7 ,Macedonia
Transport,2004 ,0.2 ,Macedonia
Electricity,2004 ,14.5 ,Macedonia
Heating and Cooling,2004 ,23.4 ,Macedonia
Gross final energy consumption,2005 ,16.5,Macedonia
Transport,2005 ,0.2,Macedonia
Electricity,2005 ,14.0,Macedonia
Heating and Cooling,2005 ,24.7,Macedonia
Gross final energy consumption,2006 ,16.5,Macedonia
Transport,2006 ,0.3,Macedonia
Electricity,2006 ,14.0,Macedonia
Heating and Cooling,2006 ,24.9,Macedonia
Gross final energy consumption,2007 ,15.0,Macedonia
Transport,2007 ,0.3,Macedonia
Electricity,2007 ,13.7,Macedonia
Heating and Cooling,2007 ,22.5,Macedonia
Gross final energy consumption,2008 ,15.6,Macedonia
Transport,2008 ,0.3,Macedonia
Electricity,2008 ,13.9,Macedonia
Heating and Cooling,2008 ,24.6,Macedonia
Gross final energy consumption,2009 ,17.2,Macedonia
Transport,2009 ,0.2,Macedonia
Electricity,2009 ,15.5,Macedonia
Heating and Cooling,2009 ,29.2,Macedonia
Gross final energy consumption,2010 ,16.5,Macedonia
Transport,2010 ,0.2,Macedonia
Electricity,2010 ,15.8,Macedonia
Heating and Cooling,2010 ,26.5,Macedonia
Gross final energy consumption,2011 ,16.4,Macedonia
Transport,2011 ,0.2,Macedonia
Electricity,2011 ,14.8,Macedonia
Heating and Cooling,2011 ,27.3,Macedonia
Gross final energy consumption,2012 ,18.1,Macedonia
Transport,2012 ,0.2,Macedonia
Electricity,2012 ,16.7,Macedonia
Heating and Cooling,2012 ,29.6,Macedonia
Gross final energy consumption,2013 ,18.5,Macedonia
