indic_en,Year,Percent,Country
Transport,2013 ,0.2,Macedonia
Electricity,2013 ,18.2,Macedonia
Heating and Cooling,2013 ,31.8,Macedonia
Gross final energy consumption,2014 ,19.6,Macedonia
Transport,2014 ,0.2,Macedonia
Electricity,2014 ,19.3,Macedonia
Heating and Cooling,2014 ,35.0,Macedonia
Gross final energy consumption,2015 ,19.5,Macedonia
Transport,2015 ,0.2,Macedonia
Electricity,2015 ,21.7,Macedonia
Heating and Cooling,2015 ,34.4,Macedonia
Gross final energy consumption,2016 ,18.2,Macedonia
Transport,2016 ,0.1,Macedonia
Electricity,2016 ,24.1,Macedonia
Heating and Cooling,2016 ,31.7,Macedonia
Gross final energy consumption,2004 ,0.1 ,Malta
Transport,2004 ,0.0 ,Malta
Electricity,2004 ,0.0 ,Malta
Heating and Cooling,2004 ,1.1 ,Malta
Gross final energy consumption,2005 ,0.1,Malta
Transport,2005 ,0.0,Malta
Electricity,2005 ,0.0,Malta
Heating and Cooling,2005 ,1.0,Malta
Gross final energy consumption,2006 ,0.1,Malta
Transport,2006 ,0.0,Malta
Electricity,2006 ,0.0,Malta
Heating and Cooling,2006 ,1.4,Malta
Gross final energy consumption,2007 ,0.2,Malta
Transport,2007 ,0.0,Malta
Electricity,2007 ,0.0,Malta
Heating and Cooling,2007 ,1.5,Malta
Gross final energy consumption,2008 ,0.2,Malta
Transport,2008 ,0.0,Malta
Electricity,2008 ,0.0,Malta
Heating and Cooling,2008 ,1.7,Malta
Gross final energy consumption,2009 ,0.2,Malta
Transport,2009 ,0.0,Malta
Electricity,2009 ,0.0,Malta
Heating and Cooling,2009 ,2.0,Malta
Gross final energy consumption,2010 ,1.0,Malta
Transport,2010 ,0.0,Malta
Electricity,2010 ,0.0,Malta
Heating and Cooling,2010 ,7.8,Malta
Gross final energy consumption,2011 ,1.9,Malta
Transport,2011 ,2.0,Malta
Electricity,2011 ,0.5,Malta
Heating and Cooling,2011 ,12.2,Malta
Gross final energy consumption,2012 ,2.8,Malta
Transport,2012 ,3.2,Malta
Electricity,2012 ,1.1,Malta
Heating and Cooling,2012 ,13.2,Malta
Gross final energy consumption,2013 ,3.7,Malta
Transport,2013 ,3.4,Malta
Electricity,2013 ,1.6,Malta
Heating and Cooling,2013 ,15.7,Malta
Gross final energy consumption,2014 ,4.7,Malta
Transport,2014 ,4.6,Malta
Electricity,2014 ,3.3,Malta
Heating and Cooling,2014 ,14.5,Malta
Gross final energy consumption,2015 ,5.0,Malta
Transport,2015 ,4.7,Malta
Electricity,2015 ,4.2,Malta
Heating and Cooling,2015 ,14.1,Malta
Gross final energy consumption,2016 ,6.0,Malta
Transport,2016 ,5.4,Malta
Electricity,2016 ,5.6,Malta
Heating and Cooling,2016 ,15.3,Malta
Gross final energy consumption,2004 ,2.0 ,Netherlands
Transport,2004 ,0.5 ,Netherlands
Electricity,2004 ,4.4 ,Netherlands
Heating and Cooling,2004 ,2.2 ,Netherlands
Gross final energy consumption,2005 ,2.5,Netherlands
Transport,2005 ,0.4,Netherlands
Electricity,2005 ,6.3,Netherlands
Heating and Cooling,2005 ,2.4,Netherlands
Gross final energy consumption,2006 ,2.8,Netherlands
Transport,2006 ,0.8,Netherlands
Electricity,2006 ,6.5,Netherlands
Heating and Cooling,2006 ,2.8,Netherlands
Gross final energy consumption,2007 ,3.3,Netherlands
Transport,2007 ,3.1,Netherlands
Electricity,2007 ,6.0,Netherlands
Heating and Cooling,2007 ,3.0,Netherlands
Gross final energy consumption,2008 ,3.6,Netherlands
Transport,2008 ,2.9,Netherlands
Electricity,2008 ,7.5,Netherlands
Heating and Cooling,2008 ,3.1,Netherlands
Gross final energy consumption,2009 ,4.3,Netherlands
Transport,2009 ,4.5,Netherlands
Electricity,2009 ,9.1,Netherlands
Heating and Cooling,2009 ,3.4,Netherlands
Gross final energy consumption,2010 ,3.9,Netherlands
Transport,2010 ,3.3,Netherlands
Electricity,2010 ,9.6,Netherlands
Heating and Cooling,2010 ,3.1,Netherlands
Gross final energy consumption,2011 ,4.5,Netherlands
Transport,2011 ,4.8,Netherlands
Electricity,2011 ,9.8,Netherlands
Heating and Cooling,2011 ,3.7,Netherlands
Gross final energy consumption,2012 ,4.7,Netherlands
Transport,2012 ,4.9,Netherlands
Electricity,2012 ,10.4,Netherlands
Heating and Cooling,2012 ,3.9,Netherlands
Gross final energy consumption,2013 ,4.8,Netherlands
Transport,2013 ,5.1,Netherlands
Electricity,2013 ,10.0,Netherlands
Heating and Cooling,2013 ,4.1,Netherlands
Gross final energy consumption,2014 ,5.5,Netherlands
Transport,2014 ,6.2,Netherlands
Electricity,2014 ,10.0,Netherlands
Heating and Cooling,2014 ,5.1,Netherlands
Gross final energy consumption,2015 ,5.8,Netherlands
Transport,2015 ,5.3,Netherlands
Electricity,2015 ,11.1,Netherlands
Heating and Cooling,2015 ,5.5,Netherlands
Gross final energy consumption,2016 ,6.0,Netherlands
Transport,2016 ,4.6,Netherlands
Electricity,2016 ,12.5,Netherlands
Heating and Cooling,2016 ,5.5,Netherlands
Gross final energy consumption,2004 ,58.1 ,Norway
Transport,2004 ,3.1 ,Norway
Electricity,2004 ,97.3 ,Norway
Heating and Cooling,2004 ,25.5 ,Norway
Gross final energy consumption,2005 ,59.8,Norway
Transport,2005 ,3.1,Norway
Electricity,2005 ,96.8,Norway
Heating and Cooling,2005 ,28.8,Norway
Gross final energy consumption,2006 ,60.2,Norway
Transport,2006 ,3.3,Norway
Electricity,2006 ,100.2,Norway
Heating and Cooling,2006 ,28.4,Norway
Gross final energy consumption,2007 ,60.1,Norway
Transport,2007 ,3.7,Norway
Electricity,2007 ,98.5,Norway
Heating and Cooling,2007 ,29.3,Norway
Gross final energy consumption,2008 ,61.7,Norway
Transport,2008 ,5.3,Norway
Electricity,2008 ,99.6,Norway
Heating and Cooling,2008 ,30.8,Norway
Gross final energy consumption,2009 ,64.8,Norway
Transport,2009 ,5.6,Norway
Electricity,2009 ,104.7,Norway
Heating and Cooling,2009 ,31.8,Norway
Gross final energy consumption,2010 ,61.1,Norway
Transport,2010 ,5.3,Norway
Electricity,2010 ,97.6,Norway
Heating and Cooling,2010 ,33.3,Norway
Gross final energy consumption,2011 ,63.7,Norway
Transport,2011 ,2.7,Norway
Electricity,2011 ,105.2,Norway
Heating and Cooling,2011 ,34.5,Norway
Gross final energy consumption,2012 ,64.0,Norway
Transport,2012 ,3.0,Norway
Electricity,2012 ,103.9,Norway
Heating and Cooling,2012 ,33.5,Norway
Gross final energy consumption,2013 ,65.9,Norway
Transport,2013 ,3.3,Norway
Electricity,2013 ,106.3,Norway
Heating and Cooling,2013 ,32.7,Norway
Gross final energy consumption,2014 ,68.6,Norway
Transport,2014 ,6.6,Norway
Electricity,2014 ,109.5,Norway
Heating and Cooling,2014 ,31.1,Norway
Gross final energy consumption,2015 ,68.4,Norway
Transport,2015 ,8.8,Norway
Electricity,2015 ,106.0,Norway
Heating and Cooling,2015 ,32.2,Norway
Gross final energy consumption,2016 ,69.4,Norway
Transport,2016 ,17.0,Norway
Electricity,2016 ,104.7,Norway
Heating and Cooling,2016 ,31.7,Norway
Gross final energy consumption,2004 ,6.9 ,Poland
Transport,2004 ,1.4 ,Poland
Electricity,2004 ,2.2 ,Poland
Heating and Cooling,2004 ,10.2 ,Poland
Gross final energy consumption,2005 ,6.9,Poland
Transport,2005 ,1.6,Poland
Electricity,2005 ,2.7,Poland
Heating and Cooling,2005 ,10.2,Poland
Gross final energy consumption,2006 ,6.9,Poland
Transport,2006 ,1.7,Poland
Electricity,2006 ,3.0,Poland
Heating and Cooling,2006 ,10.2,Poland
Gross final energy consumption,2007 ,6.9,Poland
Transport,2007 ,1.6,Poland
Electricity,2007 ,3.5,Poland
Heating and Cooling,2007 ,10.5,Poland
Gross final energy consumption,2008 ,7.7,Poland
Transport,2008 ,4.0,Poland
Electricity,2008 ,4.4,Poland
Heating and Cooling,2008 ,10.9,Poland
Gross final energy consumption,2009 ,8.7,Poland
Transport,2009 ,5.3,Poland
Electricity,2009 ,5.8,Poland
Heating and Cooling,2009 ,11.5,Poland
Gross final energy consumption,2010 ,9.3,Poland
Transport,2010 ,6.6,Poland
Electricity,2010 ,6.6,Poland
Heating and Cooling,2010 ,11.7,Poland
Gross final energy consumption,2011 ,10.3,Poland
Transport,2011 ,6.8,Poland
Electricity,2011 ,8.2,Poland
Heating and Cooling,2011 ,13.1,Poland
Gross final energy consumption,2012 ,10.9,Poland
Transport,2012 ,6.5,Poland
Electricity,2012 ,10.7,Poland
Heating and Cooling,2012 ,13.4,Poland
Gross final energy consumption,2013 ,11.4,Poland
Transport,2013 ,6.6,Poland
Electricity,2013 ,10.7,Poland
Heating and Cooling,2013 ,14.1,Poland
Gross final energy consumption,2014 ,11.5,Poland
Transport,2014 ,6.2,Poland
Electricity,2014 ,12.4,Poland
Heating and Cooling,2014 ,14.0,Poland
Gross final energy consumption,2015 ,11.7,Poland
Transport,2015 ,5.6,Poland
Electricity,2015 ,13.4,Poland
Heating and Cooling,2015 ,14.5,Poland
Gross final energy consumption,2016 ,11.3,Poland
Transport,2016 ,3.9,Poland
Electricity,2016 ,13.4,Poland
Heating and Cooling,2016 ,14.7,Poland
Gross final energy consumption,2004 ,19.2 ,Portugal
Transport,2004 ,0.4 ,Portugal
Electricity,2004 ,27.5 ,Portugal
Heating and Cooling,2004 ,32.5 ,Portugal
Gross final energy consumption,2005 ,19.5,Portugal
Transport,2005 ,0.5,Portugal
Electricity,2005 ,27.7,Portugal
Heating and Cooling,2005 ,32.1,Portugal
Gross final energy consumption,2006 ,20.8,Portugal
Transport,2006 ,1.6,Portugal
Electricity,2006 ,29.3,Portugal
Heating and Cooling,2006 ,34.2,Portugal
Gross final energy consumption,2007 ,21.9,Portugal
Transport,2007 ,2.4,Portugal
Electricity,2007 ,32.3,Portugal
Heating and Cooling,2007 ,35.0,Portugal
Gross final energy consumption,2008 ,23.0,Portugal
Transport,2008 ,2.5,Portugal
Electricity,2008 ,34.1,Portugal
Heating and Cooling,2008 ,37.5,Portugal
Gross final energy consumption,2009 ,24.4,Portugal
Transport,2009 ,3.9,Portugal
Electricity,2009 ,37.6,Portugal
Heating and Cooling,2009 ,38.0,Portugal
Gross final energy consumption,2010 ,24.2,Portugal
Transport,2010 ,5.5,Portugal
Electricity,2010 ,40.7,Portugal
Heating and Cooling,2010 ,33.9,Portugal
Gross final energy consumption,2011 ,24.6,Portugal
Transport,2011 ,0.7,Portugal
Electricity,2011 ,45.9,Portugal
Heating and Cooling,2011 ,35.2,Portugal
Gross final energy consumption,2012 ,24.6,Portugal
Transport,2012 ,0.8,Portugal
Electricity,2012 ,47.6,Portugal
Heating and Cooling,2012 ,33.2,Portugal
Gross final energy consumption,2013 ,25.7,Portugal
Transport,2013 ,0.9,Portugal
Electricity,2013 ,49.1,Portugal
Heating and Cooling,2013 ,34.6,Portugal
Gross final energy consumption,2014 ,27.0,Portugal
Transport,2014 ,3.7,Portugal
Electricity,2014 ,52.1,Portugal
Heating and Cooling,2014 ,34.0,Portugal
Gross final energy consumption,2015 ,28.0,Portugal
Transport,2015 ,7.4,Portugal
Electricity,2015 ,52.6,Portugal
Heating and Cooling,2015 ,33.4,Portugal
Gross final energy consumption,2016 ,28.5,Portugal
Transport,2016 ,7.5,Portugal
Electricity,2016 ,54.1,Portugal
Heating and Cooling,2016 ,35.1,Portugal
Gross final energy consumption,2004 ,16.3 ,Romania
Transport,2004 ,1.6 ,Romania
Electricity,2004 ,25.0 ,Romania
Heating and Cooling,2004 ,17.6 ,Romania
Gross final energy consumption,2005 ,17.3,Romania
Transport,2005 ,1.6,Romania
Electricity,2005 ,26.9,Romania
Heating and Cooling,2005 ,18.0,Romania
Gross final energy consumption,2006 ,17.1,Romania
Transport,2006 ,1.4,Romania
Electricity,2006 ,28.1,Romania
Heating and Cooling,2006 ,17.6,Romania
Gross final energy consumption,2007 ,18.3,Romania
Transport,2007 ,2.4,Romania
Electricity,2007 ,28.1,Romania
Heating and Cooling,2007 ,19.4,Romania
Gross final energy consumption,2008 ,20.5,Romania
Transport,2008 ,3.5,Romania
Electricity,2008 ,28.1,Romania
Heating and Cooling,2008 ,23.2,Romania
Gross final energy consumption,2009 ,22.7,Romania
Transport,2009 ,4.5,Romania
Electricity,2009 ,30.9,Romania
Heating and Cooling,2009 ,26.4,Romania
Gross final energy consumption,2010 ,23.4,Romania
Transport,2010 ,3.8,Romania
Electricity,2010 ,30.4,Romania
Heating and Cooling,2010 ,27.2,Romania
Gross final energy consumption,2011 ,21.4,Romania
Transport,2011 ,3.1,Romania
Electricity,2011 ,31.1,Romania
Heating and Cooling,2011 ,24.3,Romania
Gross final energy consumption,2012 ,22.8,Romania
Transport,2012 ,4.9,Romania
Electricity,2012 ,33.6,Romania
Heating and Cooling,2012 ,25.8,Romania
Gross final energy consumption,2013 ,23.9,Romania
Transport,2013 ,5.4,Romania
Electricity,2013 ,37.5,Romania
Heating and Cooling,2013 ,26.2,Romania
Gross final energy consumption,2014 ,24.8,Romania
Transport,2014 ,4.7,Romania
Electricity,2014 ,41.7,Romania
Heating and Cooling,2014 ,26.7,Romania
Gross final energy consumption,2015 ,24.8,Romania
Transport,2015 ,5.5,Romania
Electricity,2015 ,43.2,Romania
Heating and Cooling,2015 ,25.9,Romania
Gross final energy consumption,2016 ,25.0,Romania
Transport,2016 ,6.2,Romania
Electricity,2016 ,42.7,Romania
Heating and Cooling,2016 ,26.9,Romania
Gross final energy consumption,2004 ,12.9 ,Serbia
Transport,2004 ,0.5 ,Serbia
Electricity,2004 ,18.7 ,Serbia
Heating and Cooling,2004 ,14.0 ,Serbia
Gross final energy consumption,2005 ,14.4,Serbia
Transport,2005 ,0.4,Serbia
Electricity,2005 ,22.4,Serbia
Heating and Cooling,2005 ,15.6,Serbia
Gross final energy consumption,2006 ,14.6,Serbia
Transport,2006 ,0.4,Serbia
Electricity,2006 ,23.6,Serbia
Heating and Cooling,2006 ,15.8,Serbia
Gross final energy consumption,2007 ,14.4,Serbia
Transport,2007 ,0.7,Serbia
Electricity,2007 ,24.8,Serbia
Heating and Cooling,2007 ,13.2,Serbia
Gross final energy consumption,2008 ,16.0,Serbia
Transport,2008 ,0.7,Serbia
Electricity,2008 ,26.3,Serbia
Heating and Cooling,2008 ,16.7,Serbia
Gross final energy consumption,2009 ,21.2,Serbia
Transport,2009 ,1.5,Serbia
Electricity,2009 ,28.7,Serbia
Heating and Cooling,2009 ,26.5,Serbia
Gross final energy consumption,2010 ,19.9,Serbia
Transport,2010 ,0.7,Serbia
Electricity,2010 ,28.5,Serbia
Heating and Cooling,2010 ,23.2,Serbia
Gross final energy consumption,2011 ,19.2,Serbia
Transport,2011 ,1.9,Serbia
Electricity,2011 ,27.7,Serbia
Heating and Cooling,2011 ,21.1,Serbia
Gross final energy consumption,2012 ,20.9,Serbia
Transport,2012 ,2.0,Serbia
Electricity,2012 ,28.6,Serbia
Heating and Cooling,2012 ,23.2,Serbia
Gross final energy consumption,2013 ,21.4,Serbia
Transport,2013 ,1.7,Serbia
Electricity,2013 ,28.5,Serbia
Heating and Cooling,2013 ,25.2,Serbia
Gross final energy consumption,2014 ,22.7,Serbia
Transport,2014 ,1.2,Serbia
Electricity,2014 ,29.9,Serbia
Heating and Cooling,2014 ,28.8,Serbia
Gross final energy consumption,2015 ,21.8,Serbia
Transport,2015 ,1.2,Serbia
Electricity,2015 ,28.7,Serbia
Heating and Cooling,2015 ,26.5,Serbia
Gross final energy consumption,2016 ,20.9,Serbia
Transport,2016 ,1.2,Serbia
Electricity,2016 ,29.2,Serbia
Heating and Cooling,2016 ,24.2,Serbia
Gross final energy consumption,2004 ,38.7 ,Sweden
Transport,2004 ,6.3 ,Sweden
Electricity,2004 ,51.2 ,Sweden
Heating and Cooling,2004 ,46.7 ,Sweden
Gross final energy consumption,2005 ,40.6,Sweden
Transport,2005 ,6.2,Sweden
Electricity,2005 ,50.9,Sweden
Heating and Cooling,2005 ,51.9,Sweden
Gross final energy consumption,2006 ,42.7,Sweden
Transport,2006 ,7.1,Sweden
Electricity,2006 ,51.8,Sweden
Heating and Cooling,2006 ,56.4,Sweden
Gross final energy consumption,2007 ,44.2,Sweden
Transport,2007 ,8.0,Sweden
Electricity,2007 ,53.2,Sweden
Heating and Cooling,2007 ,58.7,Sweden
Gross final energy consumption,2008 ,45.3,Sweden
Transport,2008 ,8.3,Sweden
Electricity,2008 ,53.6,Sweden
Heating and Cooling,2008 ,61.1,Sweden
Gross final energy consumption,2009 ,48.2,Sweden
Transport,2009 ,8.9,Sweden
Electricity,2009 ,58.3,Sweden
Heating and Cooling,2009 ,63.6,Sweden
Gross final energy consumption,2010 ,47.2,Sweden
Transport,2010 ,9.2,Sweden
Electricity,2010 ,56.0,Sweden
Heating and Cooling,2010 ,60.9,Sweden
Gross final energy consumption,2011 ,48.8,Sweden
Transport,2011 ,11.6,Sweden
Electricity,2011 ,59.9,Sweden
Heating and Cooling,2011 ,62.2,Sweden
Gross final energy consumption,2012 ,51.1,Sweden
Transport,2012 ,14.8,Sweden
Electricity,2012 ,60.0,Sweden
Heating and Cooling,2012 ,65.8,Sweden
Gross final energy consumption,2013 ,52.0,Sweden
Transport,2013 ,19.2,Sweden
Electricity,2013 ,61.8,Sweden
Heating and Cooling,2013 ,67.1,Sweden
Gross final energy consumption,2014 ,52.5,Sweden
Transport,2014 ,21.1,Sweden
Electricity,2014 ,63.2,Sweden
Heating and Cooling,2014 ,68.0,Sweden
Gross final energy consumption,2015 ,53.8,Sweden
Transport,2015 ,24.0,Sweden
Electricity,2015 ,65.8,Sweden
Heating and Cooling,2015 ,68.6,Sweden
Gross final energy consumption,2016 ,53.8,Sweden
Transport,2016 ,30.3,Sweden
Electricity,2016 ,64.9,Sweden
Heating and Cooling,2016 ,68.6,Sweden
Gross final energy consumption,2004 ,16.1 ,Slovenia
Transport,2004 ,0.9 ,Slovenia
Electricity,2004 ,29.3 ,Slovenia
Heating and Cooling,2004 ,18.4 ,Slovenia
Gross final energy consumption,2005 ,16.0,Slovenia
Transport,2005 ,0.8,Slovenia
Electricity,2005 ,28.7,Slovenia
Heating and Cooling,2005 ,18.9,Slovenia
Gross final energy consumption,2006 ,15.6,Slovenia
Transport,2006 ,1.1,Slovenia
Electricity,2006 ,28.2,Slovenia
Heating and Cooling,2006 ,18.6,Slovenia
Gross final energy consumption,2007 ,15.6,Slovenia
Transport,2007 ,1.5,Slovenia
Electricity,2007 ,27.7,Slovenia
Heating and Cooling,2007 ,20.4,Slovenia
Gross final energy consumption,2008 ,15.0,Slovenia
Transport,2008 ,1.8,Slovenia
Electricity,2008 ,30.0,Slovenia
Heating and Cooling,2008 ,19.2,Slovenia
Gross final energy consumption,2009 ,20.1,Slovenia
Transport,2009 ,2.3,Slovenia
Electricity,2009 ,33.8,Slovenia
Heating and Cooling,2009 ,27.6,Slovenia
Gross final energy consumption,2010 ,20.4,Slovenia
Transport,2010 ,3.1,Slovenia
Electricity,2010 ,32.2,Slovenia
Heating and Cooling,2010 ,28.1,Slovenia
Gross final energy consumption,2011 ,20.3,Slovenia
Transport,2011 ,2.5,Slovenia
Electricity,2011 ,31.0,Slovenia
Heating and Cooling,2011 ,30.3,Slovenia
Gross final energy consumption,2012 ,20.8,Slovenia
Transport,2012 ,3.3,Slovenia
Electricity,2012 ,31.6,Slovenia
Heating and Cooling,2012 ,31.5,Slovenia
Gross final energy consumption,2013 ,22.4,Slovenia
Transport,2013 ,3.8,Slovenia
Electricity,2013 ,33.1,Slovenia
Heating and Cooling,2013 ,33.4,Slovenia
Gross final energy consumption,2014 ,21.5,Slovenia
Transport,2014 ,2.9,Slovenia
Electricity,2014 ,33.9,Slovenia
Heating and Cooling,2014 ,32.4,Slovenia
Gross final energy consumption,2015 ,21.9,Slovenia
Transport,2015 ,2.2,Slovenia
Electricity,2015 ,32.7,Slovenia
Heating and Cooling,2015 ,33.9,Slovenia
Gross final energy consumption,2016 ,21.3,Slovenia
Transport,2016 ,1.6,Slovenia
Electricity,2016 ,32.1,Slovenia
Heating and Cooling,2016 ,34.0,Slovenia
Gross final energy consumption,2004 ,6.4 ,Slovakia
Transport,2004 ,1.5 ,Slovakia
Electricity,2004 ,15.4 ,Slovakia
Heating and Cooling,2004 ,5.1 ,Slovakia
Gross final energy consumption,2005 ,6.4,Slovakia
Transport,2005 ,1.6,Slovakia
Electricity,2005 ,15.7,Slovakia
Heating and Cooling,2005 ,5.0,Slovakia
Gross final energy consumption,2006 ,6.6,Slovakia
Transport,2006 ,3.5,Slovakia
Electricity,2006 ,16.6,Slovakia
Heating and Cooling,2006 ,4.5,Slovakia
Gross final energy consumption,2007 ,7.8,Slovakia
Transport,2007 ,4.0,Slovakia
Electricity,2007 ,16.5,Slovakia
Heating and Cooling,2007 ,6.2,Slovakia
Gross final energy consumption,2008 ,7.7,Slovakia
Transport,2008 ,4.3,Slovakia
Electricity,2008 ,17.0,Slovakia
Heating and Cooling,2008 ,6.1,Slovakia
Gross final energy consumption,2009 ,9.4,Slovakia
Transport,2009 ,5.3,Slovakia
Electricity,2009 ,17.8,Slovakia
Heating and Cooling,2009 ,8.2,Slovakia
Gross final energy consumption,2010 ,9.1,Slovakia
Transport,2010 ,5.3,Slovakia
Electricity,2010 ,17.8,Slovakia
Heating and Cooling,2010 ,7.9,Slovakia
Gross final energy consumption,2011 ,10.3,Slovakia
Transport,2011 ,5.5,Slovakia
Electricity,2011 ,19.3,Slovakia
Heating and Cooling,2011 ,9.3,Slovakia
Gross final energy consumption,2012 ,10.4,Slovakia
Transport,2012 ,5.4,Slovakia
Electricity,2012 ,20.1,Slovakia
Heating and Cooling,2012 ,8.8,Slovakia
Gross final energy consumption,2013 ,10.1,Slovakia
Transport,2013 ,6.0,Slovakia
Electricity,2013 ,20.8,Slovakia
Heating and Cooling,2013 ,7.9,Slovakia
Gross final energy consumption,2014 ,11.7,Slovakia
Transport,2014 ,7.6,Slovakia
Electricity,2014 ,22.9,Slovakia
Heating and Cooling,2014 ,8.9,Slovakia
Gross final energy consumption,2015 ,12.9,Slovakia
Transport,2015 ,8.5,Slovakia
Electricity,2015 ,22.7,Slovakia
Heating and Cooling,2015 ,10.8,Slovakia
Gross final energy consumption,2016 ,12.0,Slovakia
Transport,2016 ,7.5,Slovakia
Electricity,2016 ,22.5,Slovakia
Heating and Cooling,2016 ,9.9,Slovakia
Gross final energy consumption,2004 ,1.1 ,United Kingdom
Transport,2004 ,0.3 ,United Kingdom
Electricity,2004 ,3.5 ,United Kingdom
Heating and Cooling,2004 ,0.7 ,United Kingdom
Gross final energy consumption,2005 ,1.3,United Kingdom
Transport,2005 ,0.5,United Kingdom
Electricity,2005 ,4.1,United Kingdom
Heating and Cooling,2005 ,0.8,United Kingdom
Gross final energy consumption,2006 ,1.5,United Kingdom
Transport,2006 ,0.7,United Kingdom
Electricity,2006 ,4.5,United Kingdom
Heating and Cooling,2006 ,0.9,United Kingdom
Gross final energy consumption,2007 ,1.8,United Kingdom
Transport,2007 ,1.1,United Kingdom
Electricity,2007 ,4.8,United Kingdom
Heating and Cooling,2007 ,1.0,United Kingdom
Gross final energy consumption,2008 ,2.7,United Kingdom
Transport,2008 ,2.3,United Kingdom
Electricity,2008 ,5.5,United Kingdom
Heating and Cooling,2008 ,1.9,United Kingdom
Gross final energy consumption,2009 ,3.3,United Kingdom
Transport,2009 ,2.9,United Kingdom
Electricity,2009 ,6.7,United Kingdom
Heating and Cooling,2009 ,2.3,United Kingdom
Gross final energy consumption,2010 ,3.7,United Kingdom
Transport,2010 ,3.3,United Kingdom
Electricity,2010 ,7.5,United Kingdom
Heating and Cooling,2010 ,2.7,United Kingdom
Gross final energy consumption,2011 ,4.2,United Kingdom
Transport,2011 ,3.2,United Kingdom
Electricity,2011 ,8.9,United Kingdom
Heating and Cooling,2011 ,3.0,United Kingdom
Gross final energy consumption,2012 ,4.6,United Kingdom
Transport,2012 ,4.0,United Kingdom
Electricity,2012 ,10.8,United Kingdom
Heating and Cooling,2012 ,3.2,United Kingdom
Gross final energy consumption,2013 ,5.7,United Kingdom
Transport,2013 ,4.7,United Kingdom
Electricity,2013 ,13.8,United Kingdom
Heating and Cooling,2013 ,4.0,United Kingdom
Gross final energy consumption,2014 ,7.0,United Kingdom
Transport,2014 ,5.3,United Kingdom
Electricity,2014 ,17.8,United Kingdom
Heating and Cooling,2014 ,4.7,United Kingdom
Gross final energy consumption,2015 ,8.5,United Kingdom
Transport,2015 ,4.4,United Kingdom
Electricity,2015 ,22.3,United Kingdom
Heating and Cooling,2015 ,6.3,United Kingdom
Gross final energy consumption,2016 ,9.3,United Kingdom
Transport,2016 ,4.9,United Kingdom
Electricity,2016 ,24.6,United Kingdom
Heating and Cooling,2016 ,7.0,United Kingdom